,ngram,count
0,"('the', 'transfor')",1
1,"('transfor', 'nation')",1
2,"('nation', 'of')",1
3,"('of', 'krag')",1
4,"('krag', 'a')",1
5,"('a', 'hero')",1
6,"('hero', 'who')",1
7,"('who', 'for')",1
8,"('for', 'vears')",1
9,"('vears', 'lays')",1
10,"('lays', 'his')",1
11,"('his', 'plans')",1
12,"('plans', 'with')",1
13,"('with', 'like')",1
14,"('like', 'a')",1
15,"('a', 'fiendish')",1
16,"('fiendish', 'to')",1
17,"('to', 'accomplish')",1
18,"('accomplish', 'the')",1
19,"('the', 'ruin')",1
20,"('ruin', 'of')",1
21,"('of', 'his')",4
22,"('his', 'wife')",2
23,"('wife', 's')",2
24,"('s', 'father')",1
25,"('father', 'is')",1
26,"('is', 'the')",2
27,"('the', 'leading')",1
28,"('leading', 'figure')",1
29,"('figure', 'in')",1
30,"('in', 'tile')",1
31,"('tile', 'new')",1
32,"('new', 'novel')",1
33,"('novel', 'bv')",1
34,"('bv', 'eugrene')",1
35,"('eugrene', 'p')",1
36,"('p', 'lvle')",1
37,"('lvle', 'jr')",1
38,"('jr', 'the')",1
39,"('the', 'transformation')",1
40,"('transformation', 'of')",1
41,"('of', 'krad')",1
42,"('krad', 'it')",1
43,"('it', 'was')",2
44,"('was', 'at')",1
45,"('at', 'a')",1
46,"('a', 'party')",1
47,"('party', 'during')",1
48,"('during', 'the')",1
49,"('the', 'week')",1
50,"('week', 'of')",1
51,"('of', 'the')",10
52,"('the', 'graduation')",1
53,"('graduation', 'exercises')",1
54,"('exercises', 'of')",1
55,"('the', 'local')",1
56,"('local', 'high')",1
57,"('high', 'school')",1
58,"('school', 'that')",1
59,"('that', 'jim')",1
60,"('jim', 'krag')",2
61,"('krag', 'received')",1
62,"('received', 'the')",1
63,"('the', 'insult')",1
64,"('insult', 'that')",1
65,"('that', 'lie')",2
66,"('lie', 'could')",1
67,"('could', 'not')",1
68,"('not', 'forgive')",1
69,"('forgive', 'the')",1
70,"('the', 'party')",1
71,"('party', 'was')",1
72,"('was', 'given')",1
73,"('given', 'by')",1
74,"('by', 'mfaisie')",1
75,"('mfaisie', 'hacklette')",1
76,"('hacklette', 'whose')",1
77,"('whose', 'father')",1
78,"('father', 'a')",1
79,"('a', 'vulgar')",1
80,"('vulgar', 'ignorant')",1
